Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,74600.0,74800.0,73700.0,74300.0,72513.9375,10122226
2022-02-21,74300.0,74300.0,74300.0,74300.0,72513.9375,0
2022-02-22,74300.0,74300.0,74300.0,74300.0,72513.9375,0
2022-02-23,74300.0,74300.0,74300.0,74300.0,72513.9375,0
2022-02-24,72300.0,72300.0,71300.0,71500.0,69781.25,15759283
2022-02-25,72100.0,72600.0,71900.0,71900.0,70171.625,13168484
2022-02-28,71900.0,71900.0,71900.0,71900.0,70171.625,0
2022-03-02,72300.0,72400.0,71500.0,71700.0,69976.4375,12481430
2022-03-03,72300.0,73100.0,72200.0,72900.0,71147.6015625,13232638
2022-03-04,72900.0,72900.0,72900.0,72900.0,71147.6015625,0
2022-03-07,70000.0,70600.0,69900.0,70100.0,68414.90625,18617138
2022-03-08,68800.0,70000.0,68700.0,69500.0,67829.328125,15828269
2022-03-10,69500.0,69500.0,69500.0,69500.0,67829.328125,0
2022-03-11,70500.0,70700.0,69700.0,70000.0,68317.3046875,15787655
2022-03-14,70000.0,70200.0,69600.0,70200.0,68512.5,9040993
2022-03-15,70200.0,70200.0,70200.0,70200.0,68512.5,0
2022-03-16,70200.0,70500.0,69700.0,70400.0,68707.6875,10175750
2022-03-17,70400.0,70400.0,70400.0,70400.0,68707.6875,0
2022-03-18,70600.0,70900.0,70200.0,70700.0,69000.484375,14410038
2022-03-21,70900.0,71000.0,69900.0,69900.0,68219.703125,11169002
2022-03-22,69900.0,70500.0,69900.0,70300.0,68610.09375,9402666
2022-03-23,70600.0,71200.0,70300.0,70500.0,68805.2890625,12398025
2022-03-24,69600.0,70300.0,69600.0,69800.0,68122.109375,37943357
2022-03-25,70100.0,70200.0,69600.0,69800.0,68122.109375,12986010
2022-03-28,69500.0,69900.0,69200.0,69700.0,68024.515625,12619289
2022-03-29,70000.0,70300.0,69800.0,70200.0,68512.5,13686208
2022-03-30,70300.0,70500.0,69800.0,69900.0,68572.34375,12670187
2022-03-31,69900.0,70200.0,69600.0,69600.0,68278.0390625,12510366
2022-04-01,69500.0,69500.0,69000.0,69100.0,67787.53125,15916846
2022-04-04,68900.0,69300.0,68600.0,69300.0,67983.734375,11107905
2022-04-05,69400.0,69600.0,69100.0,69200.0,67885.6328125,8467248
2022-04-06,68600.0,68800.0,68500.0,68500.0,67198.9296875,15517308
2022-04-07,68500.0,68500.0,68000.0,68000.0,66708.4296875,20683327
2022-04-08,68100.0,68300.0,67700.0,67800.0,66512.2265625,15453191
2022-04-11,67800.0,68100.0,67400.0,67900.0,66610.328125,12263735
2022-04-12,67600.0,67700.0,67000.0,67000.0,65727.421875,13924389
2022-04-13,67300.0,69000.0,67200.0,68700.0,67395.125,17378619
2022-04-14,68700.0,68700.0,67500.0,67500.0,66217.921875,16409494
2022-04-15,67200.0,67300.0,66500.0,66600.0,65335.0234375,13176415
2022-04-18,66500.0,67100.0,66100.0,66700.0,65433.12109375,10119203
2022-04-19,67100.0,68000.0,67000.0,67300.0,66021.71875,12959434
2022-04-20,67000.0,67400.0,66500.0,67400.0,66119.8203125,16693293
2022-04-21,67600.0,68300.0,67500.0,67700.0,66414.125,12847448
2022-04-22,67200.0,67300.0,66700.0,67000.0,65727.421875,11791478
2022-04-25,66500.0,66700.0,66300.0,66300.0,65040.71484375,11016474
2022-04-26,66400.0,66700.0,66100.0,66100.0,64844.515625,12946923
2022-04-27,65400.0,65500.0,64900.0,65000.0,63765.41015625,18122084
2022-04-28,65400.0,65500.0,64500.0,64800.0,63569.20703125,16895527
2022-04-29,65100.0,67600.0,65000.0,67400.0,66119.8203125,26190390
2022-05-02,66600.0,67600.0,66500.0,67300.0,66021.71875,14106184
2022-05-03,67400.0,68400.0,67300.0,67500.0,66217.921875,14168875
2022-05-04,68000.0,68400.0,67500.0,67900.0,66610.328125,11505248
2022-05-06,67000.0,67100.0,66500.0,66500.0,65236.91796875,14356156
2022-05-10,65900.0,66300.0,65300.0,65700.0,64452.11328125,17235605
2022-05-11,65500.0,66300.0,65200.0,65700.0,64452.11328125,12330920
2022-05-12,65200.0,65500.0,64900.0,64900.0,63667.30859375,16414188
2022-05-13,65300.0,66700.0,65200.0,66500.0,65236.91796875,14551536
2022-05-16,67100.0,67400.0,66100.0,66300.0,65040.71484375,11937555
2022-05-17,66600.0,67900.0,66600.0,67600.0,66316.0234375,15680447
2022-05-18,68300.0,68700.0,67600.0,68100.0,66806.5234375,16486319
2022-05-19,66500.0,67600.0,66500.0,67500.0,66217.921875,17073727
2022-05-20,67800.0,68400.0,67700.0,68000.0,66708.4296875,12109671
2022-05-23,68800.0,68800.0,67600.0,67900.0,66610.328125,13684088
2022-05-24,67500.0,67700.0,66500.0,66500.0,65236.91796875,15482576
2022-05-25,66700.0,67100.0,65900.0,66400.0,65138.8125,15150490
2022-05-26,66300.0,67200.0,65500.0,65900.0,64648.31640625,15970890
2022-05-27,66700.0,66900.0,66200.0,66500.0,65236.91796875,11405555
2022-05-30,67500.0,67800.0,66900.0,67700.0,66414.125,14255484
2022-05-31,67500.0,67500.0,66700.0,67400.0,66119.8203125,24365002
2022-06-02,66600.0,67000.0,66400.0,66700.0,65433.12109375,14959443
2022-06-03,67200.0,67300.0,66800.0,66800.0,65531.21875,8222883
2022-06-07,66200.0,66400.0,65400.0,65500.0,64255.91015625,19355755
2022-06-08,65400.0,65700.0,65300.0,65300.0,64059.7109375,12483180
2022-06-09,65100.0,65200.0,64500.0,65200.0,63961.609375,25790725
2022-06-10,64000.0,64400.0,63800.0,63800.0,62588.19921875,22193552
2022-06-13,62400.0,62800.0,62100.0,62100.0,60920.4921875,22157816
2022-06-14,61200.0,62200.0,61100.0,61900.0,60724.2890625,24606419
2022-06-15,61300.0,61500.0,60200.0,60700.0,59547.08203125,26811224
2022-06-16,61300.0,61800.0,60500.0,60900.0,59743.28515625,23394895
2022-06-17,59400.0,59900.0,59400.0,59800.0,58664.17578125,29053450
2022-06-20,59800.0,59900.0,58100.0,58700.0,57585.0703125,34111306
2022-06-21,58700.0,59200.0,58200.0,58500.0,57388.8671875,25148109
2022-06-22,59000.0,59100.0,57600.0,57600.0,56505.96484375,23334687
2022-06-23,57700.0,58000.0,56800.0,57400.0,56309.76171875,28338608
2022-06-24,57900.0,59100.0,57700.0,58400.0,57290.765625,23256103
2022-06-27,59000.0,59900.0,58300.0,58800.0,57683.16796875,18122236
2022-06-28,59200.0,59500.0,58700.0,59400.0,58271.7734375,13540538
2022-06-29,58500.0,58800.0,58000.0,58000.0,57246.27734375,14677138
2022-06-30,57200.0,57600.0,57000.0,57000.0,56259.26953125,18915142
2022-07-01,56900.0,57500.0,55900.0,56200.0,55469.66796875,24982097
2022-07-04,56100.0,57400.0,55700.0,57100.0,56357.97265625,17807126
